TimeMs,Temp1,Temp2,Temp3,Temp4,CoolantTemp,Current,PumpCmd,FanCmd,PumpRpm,FanRpm,Fault
21100,35.0001,35.5001,34.6001,35.3001,29.7581,320,15,0,600,0,0
21200,35.0001,35.5001,34.6001,35.3001,29.7741,320,15,0,600,0,0
21300,35.0002,35.5002,34.6002,35.3002,29.7901,320,15,0,600,0,0
21400,35.0002,35.5002,34.6002,35.3002,29.806,320,15,0,600,0,0
21500,35.0002,35.5002,34.6002,35.3002,29.8219,320,15,0,600,0,0
21600,35.0002,35.5002,34.6002,35.3002,29.8377,320,15,0,600,0,0
21700,35.0003,35.5003,34.6003,35.3003,29.8535,320,15,0,600,0,0
21800,35.0003,35.5003,34.6003,35.3003,29.8692,320,15,0,600,0,0
21900,35.0003,35.5003,34.6003,35.3003,29.8849,320,15,0,600,0,0
22000,35.0003,35.5003,34.6003,35.3003,29.9006,320,15,0,600,0,0
22100,35.0003,35.5003,34.6003,35.3003,29.9162,320,15,0,600,0,0
22200,35.0004,35.5004,34.6004,35.3004,29.9317,320,15,0,600,0,0
22300,35.0004,35.5004,34.6004,35.3004,29.9472,320,15,0,600,0,0
22400,35.0004,35.5004,34.6004,35.3004,29.9627,320,15,0,600,0,0
22500,35.0004,35.5004,34.6004,35.3004,29.9781,320,15,0,600,0,0
22600,35.0005,35.5005,34.6005,35.3005,29.9935,320,15,0,600,0,0
22700,35.0005,35.5005,34.6005,35.3005,30.0088,320,15,0,600,0,0
22800,35.0005,35.5005,34.6005,35.3005,30.0241,320,15,0,600,0,0
22900,35.0005,35.5005,34.6005,35.3005,30.0393,320,15,0,600,0,0
23000,35.0006,35.5006,34.6006,35.3006,30.0545,320,15,0,600,0,0
23100,35.0006,35.5006,34.6006,35.3006,30.0696,320,15,0,600,0,0
23200,35.0006,35.5006,34.6006,35.3006,30.0847,320,15,0,600,0,0
23300,35.0006,35.5006,34.6006,35.3006,30.0998,320,15,0,600,0,0
23400,35.0007,35.5007,34.6007,35.3007,30.1148,320,15,0,600,0,0
23500,35.0007,35.5007,34.6007,35.3007,30.1297,320,15,0,600,0,0
23600,35.0007,35.5007,34.6007,35.3007,30.1446,320,15,0,600,0,0
23700,35.0008,35.5008,34.6008,35.3008,30.1595,320,15,0,600,0,0
23800,35.0008,35.5008,34.6008,35.3008,30.1743,320,15,0,600,0,0
23900,35.0008,35.5008,34.6008,35.3008,30.1891,320,15,0,600,0,0
24000,35.0008,35.5008,34.6008,35.3008,30.2039,320,15,0,600,0,0
24100,35.0009,35.5009,34.6009,35.3009,30.2185,320,15,0,600,0,0
24200,35.0009,35.5009,34.6009,35.3009,30.2332,320,15,0,600,0,0
24300,35.0009,35.5009,34.6009,35.3009,30.2478,320,15,0,600,0,0
24400,35.0009,35.5009,34.6009,35.3009,30.2624,320,15,0,600,0,0
24500,35.001,35.501,34.601,35.301,30.2769,320,15,0,600,0,0
24600,35.001,35.501,34.601,35.301,30.2913,320,15,0,600,0,0
24700,35.001,35.501,34.601,35.301,30.3058,320,15,0,600,0,0
24800,35.001,35.501,34.601,35.301,30.3202,320,15,0,600,0,0
24900,35.0011,35.5011,34.6011,35.3011,30.3345,320,15,0,600,0,0
25000,35.0011,35.5011,34.6011,35.3011,30.3488,320,15,0,600,0,0
25100,35.0011,35.5011,34.6011,35.3011,30.3631,320,15,0,600,0,0
25200,35.0012,35.5012,34.6012,35.3012,30.3773,320,15,0,600,0,0
25300,35.0012,35.5012,34.6012,35.3012,30.3914,320,15,0,600,0,0
25400,35.0012,35.5012,34.6012,35.3012,30.4056,320,15,0,600,0,0
25500,35.0012,35.5012,34.6012,35.3012,30.4197,320,15,0,600,0,0
25600,35.0013,35.5013,34.6013,35.3013,30.4337,320,15,0,600,0,0
25700,35.0013,35.5013,34.6013,35.3013,30.4477,320,15,0,600,0,0
25800,35.0013,35.5013,34.6013,35.3013,30.4617,320,15,0,600,0,0
25900,35.0013,35.5013,34.6013,35.3013,30.4756,320,15,0,600,0,0
26000,35.0014,35.5014,34.6014,35.3014,30.4895,320,15,0,600,0,0
26100,35.0014,35.5014,34.6014,35.3014,30.5033,320,15,0,600,0,0
26200,35.0014,35.5014,34.6014,35.3014,30.5171,320,15,0,600,0,0
26300,35.0014,35.5014,34.6014,35.3014,30.5308,320,15,0,600,0,0
26400,35.0015,35.5015,34.6015,35.3015,30.5446,320,15,0,600,0,0
26500,35.0015,35.5015,34.6015,35.3015,30.5582,320,15,0,600,0,0
26600,35.0015,35.5015,34.6015,35.3015,30.5719,320,15,0,600,0,0
26700,35.0016,35.5016,34.6016,35.3016,30.5854,320,15,0,600,0,0
26800,35.0016,35.5016,34.6016,35.3016,30.599,320,15,0,600,0,0
26900,35.0016,35.5016,34.6016,35.3016,30.6125,320,15,0,600,0,0
27000,35.0016,35.5016,34.6016,35.3016,30.626,320,15,0,600,0,0
27100,35.0017,35.5017,34.6017,35.3017,30.6394,320,15,0,600,0,0
27200,35.0017,35.5017,34.6017,35.3017,30.6528,320,15,0,600,0,0
27300,35.0017,35.5017,34.6017,35.3017,30.6661,320,15,0,600,0,0
27400,35.0017,35.5017,34.6017,35.3017,30.6794,320,15,0,600,0,0
27500,35.0018,35.5018,34.6018,35.3018,30.6927,320,15,0,600,0,0
27600,35.0018,35.5018,34.6018,35.3018,30.7059,320,15,0,600,0,0
27700,35.0018,35.5018,34.6018,35.3018,30.7191,320,15,0,600,0,0
27800,35.0019,35.5019,34.6018,35.3018,30.7323,320,15,0,600,0,0
27900,35.0019,35.5019,34.6019,35.3019,30.7454,320,15,0,600,0,0
28000,35.0019,35.5019,34.6019,35.3019,30.7584,320,15,0,600,0,0
28100,35.0019,35.5019,34.6019,35.3019,30.7715,320,15,0,600,0,0
28200,35.002,35.502,34.602,35.302,30.7845,320,15,0,600,0,0
28300,35.002,35.502,34.602,35.302,30.7974,320,15,0,600,0,0
28400,35.002,35.502,34.602,35.302,30.8103,320,15,0,600,0,0
28500,35.002,35.502,34.602,35.302,30.8232,320,15,0,600,0,0
28600,35.0021,35.5021,34.6021,35.3021,30.836,320,15,0,600,0,0
28700,35.0021,35.5021,34.6021,35.3021,30.8488,320,15,0,600,0,0
28800,35.0021,35.5021,34.6021,35.3021,30.8616,320,15,0,600,0,0
28900,35.0021,35.5021,34.6021,35.3021,30.8743,320,15,0,600,0,0
29000,35.0022,35.5022,34.6022,35.3022,30.887,320,15,0,600,0,0
29100,35.0022,35.5022,34.6022,35.3022,30.8997,320,15,0,600,0,0
29200,35.0022,35.5022,34.6022,35.3022,30.9123,320,15,0,600,0,0
29300,35.0023,35.5023,34.6022,35.3022,30.9248,320,15,0,600,0,0
29400,35.0023,35.5023,34.6023,35.3023,30.9374,320,15,0,600,0,0
29500,35.0023,35.5023,34.6023,35.3023,30.9499,320,15,0,600,0,0
29600,35.0023,35.5023,34.6023,35.3023,30.9623,320,15,0,600,0,0
29700,35.0024,35.5024,34.6024,35.3024,30.9747,320,15,0,600,0,0
29800,35.0024,35.5024,34.6024,35.3024,30.9871,320,15,0,600,0,0
29900,35.0024,35.5024,34.6024,35.3024,30.9995,320,15,0,600,0,0
30000,35.0024,35.5024,34.6024,35.3024,31.0118,320,15,0,600,0,0
30100,35.0025,35.5025,34.6025,35.3025,31.024,320,15,0,4000,3000,3
30200,35.0025,35.5025,34.6025,35.3025,31.0056,320,100,100,4000,3000,3
30300,35.0025,35.5025,34.6025,35.3025,30.9876,320,100,100,4000,3000,3
30400,35.0025,35.5025,34.6025,35.3025,30.9699,320,100,100,4000,3000,3
30500,35.0025,35.5025,34.6025,35.3025,30.9525,320,100,100,4000,3000,3
30600,35.0026,35.5026,34.6026,35.3026,30.9355,320,100,100,4000,3000,0
30700,35.0026,35.5026,34.6026,35.3026,30.9189,320,100,100,4000,3000,0
30800,35.0026,35.5026,34.6026,35.3026,30.9025,320,100,100,4000,3000,0
30900,35.0026,35.5026,34.6026,35.3026,30.8865,320,100,100,4000,3000,0
31000,35.0026,35.5026,34.6026,35.3026,30.8708,320,100,100,4000,3000,0
31100,35.0026,35.5026,34.6026,35.3026,30.8555,320,100,100,4000,3000,0
31200,35.0026,35.5026,34.6026,35.3026,30.8404,320,100,100,4000,3000,0
31300,35.0027,35.5027,34.6027,35.3027,30.8257,320,100,100,4000,3000,0
31400,35.0027,35.5027,34.6027,35.3027,30.8112,320,100,100,4000,3000,0
31500,35.0027,35.5027,34.6027,35.3027,30.797,320,100,100,4000,3000,0
31600,35.0027,35.5027,34.6027,35.3027,30.7832,320,100,100,4000,3000,0
31700,35.0027,35.5027,34.6027,35.3027,30.7695,320,100,100,4000,3000,0
31800,35.0027,35.5027,34.6027,35.3027,30.7562,320,100,100,4000,3000,0
31900,35.0027,35.5027,34.6027,35.3027,30.7431,320,100,100,4000,3000,0
32000,35.0027,35.5027,34.6027,35.3027,30.7303,320,100,100,4000,3000,0
32100,35.0028,35.5028,34.6028,35.3028,30.7178,320,100,100,4000,3000,0
32200,35.0028,35.5028,34.6028,35.3028,30.7055,320,100,100,4000,3000,0
32300,35.0028,35.5028,34.6028,35.3028,30.6934,320,100,100,4000,3000,0
32400,35.0028,35.5028,34.6028,35.3028,30.6816,320,100,100,4000,3000,0
32500,35.0028,35.5028,34.6028,35.3028,30.67,320,100,100,4000,3000,0
32600,35.0028,35.5028,34.6028,35.3028,30.6587,320,100,100,4000,3000,0
32700,35.0028,35.5028,34.6028,35.3028,30.6476,320,100,100,4000,3000,0
32800,35.0028,35.5028,34.6028,35.3028,30.6367,320,100,100,4000,3000,0
32900,35.0028,35.5028,34.6028,35.3028,30.626,320,100,100,4000,3000,0
33000,35.0029,35.5029,34.6029,35.3029,30.6155,320,100,100,4000,3000,0
33100,35.0029,35.5029,34.6029,35.3029,30.6053,320,100,100,4000,3000,0
33200,35.0029,35.5029,34.6029,35.3029,30.5952,320,100,100,4000,3000,0
33300,35.0029,35.5029,34.6029,35.3029,30.5854,320,100,100,4000,3000,0
33400,35.0029,35.5029,34.6029,35.3029,30.5757,320,100,100,4000,3000,0
33500,35.0029,35.5029,34.6029,35.3029,30.5663,320,100,100,4000,3000,0
33600,35.0029,35.5029,34.6029,35.3029,30.557,320,100,100,4000,3000,0
33700,35.0029,35.5029,34.6029,35.3029,30.5479,320,100,100,4000,3000,0
33800,35.0029,35.5029,34.6029,35.3029,30.539,320,100,100,4000,3000,0
33900,35.003,35.503,34.603,35.303,30.5303,320,100,100,4000,3000,0
34000,35.003,35.503,34.603,35.303,30.5218,320,100,100,4000,3000,0
34100,35.003,35.503,34.603,35.303,30.5134,320,100,100,4000,3000,0
34200,35.003,35.503,34.603,35.303,30.5052,320,100,100,4000,3000,0
34300,35.003,35.503,34.603,35.303,30.4971,320,100,100,4000,3000,0
